,index,artist_name,track_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in_min_ms,time_signature,genre
37,58,Thursday,Standing on the Edge of Summer,43.0,0.236,0.846,2.0,-4.534,1,0.0482,0.00011,0.000334,0.0985,0.372,168.702,222040.0,4,Rock
38,59,Queen,Another One Bites The Dust - Remastered 2011,82.0,0.933,0.528,5.0,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967,214653.0,4,HipHop
39,60,La Femme,Cool Colorado,54.0,0.505,0.762,9.0,-7.15,1,0.0454,0.0415,6.12e-05,0.117,0.477,81.454,232480.0,4,Alt_Music
40,61,Dry Cleaning,Strong Feelings,52.0,0.748,0.467,11.0,-9.253,0,0.0365,0.0208,0.876,0.0656,0.96,130.047,244533.0,4,Pop
41,63,Robben Ford,Cotton Candy,17.0,0.843,0.631,5.0,-6.176,0,0.0548,0.0401,0.00328,0.125,0.894,125.024,235392.0,4,HipHop
42,64,Soulja Boy,She Make It Clap,74.0,0.941,0.471,1.0,-13.087,1,0.494,0.0308,0.00838,0.0837,0.487,119.898,111550.0,4,HipHop
43,65,Jeff Jensen,Fall Apart,27.0,0.765,0.312,7.0,-9.578,1,0.0374,0.533,0.017,0.12,0.277,121.957,267358.0,4,Indie_Alt
44,66,Britney Spears,Circus,75.0,0.791,0.733,6.0,-5.215,0,0.052,0.147,0.000381,0.0713,0.761,114.98,3.206,4,Pop
45,68,Dua Lipa,Fever,78.0,0.868,0.693,6.0,-7.052,0,0.181,0.0597,0.00399,0.106,0.396,114.999,156911.0,4,HipHop
46,69,The Beatles,I Am The Walrus - Remastered 2009,63.0,0.401,0.556,2.0,-10.532,1,0.0513,0.0828,0.000359,0.589,0.654,85.206,275867.0,4,Rock
47,71,Unearth,Zombie Autopilot,41.0,0.258,0.918,11.0,-5.972,0,0.0701,8.2e-06,0.627,0.413,0.253,93.727,249853.0,4,Rock
48,72,Yehudit Ravitz,Hakol Beseder - Omri Smadar Remix,35.0,0.679,0.948,9.0,-6.095,1,0.0432,0.0355,0.0409,0.0719,0.906,122.988,261132.0,4,Rock
49,73,Castaways,"Liar, Liar",40.0,0.525,0.623,7.0,-6.253,0,0.0291,0.247,0.742,0.148,0.839,144.583,115925.0,4,Alt_Music
50,75,Mr. Oizo,Gay Dentists,25.0,0.736,0.97,1.0,-4.955,1,0.128,0.000228,0.0104,0.148,0.703,128.59,218493.0,4,Indie_Alt
51,78,Celestial Teapot,Change Is Constant,16.0,0.381,0.404,7.0,-12.227,1,0.0324,0.314,0.916,0.112,0.0739,108.029,404696.0,4,Rock
52,79,yes/and,Ugly Orange,16.0,0.556,0.234,2.0,-16.707,1,0.0457,0.982,0.91,0.0844,0.395,108.8,259725.0,3,Indie_Alt
53,81,Sam Ezeh,Sapphire Alley,47.0,0.675,0.622,10.0,-6.251,1,0.0234,0.247,0.45,0.107,0.662,108.002,202778.0,4,Indie_Alt
54,82,Albert Collins,T-Bone Shuffle,51.0,0.537,0.695,11.0,-9.88,1,0.0377,0.00393,0.188,0.084,0.77,131.307,295693.0,4,Rock
55,83,Popa Chubby,Sweet Goddess of Love and Beer,33.0,0.683,0.684,9.0,-7.296,1,0.0515,0.257,0.000341,0.135,0.854,110.426,279640.0,4,Blues
56,86,Zuli Jr.,Two,33.0,0.643,0.467,2.0,-5.503,1,0.0332,0.248,3.86e-06,0.105,0.784,171.937,206693.0,3,Pop
57,87,Harish Sivaramakrishnan,Malhar Jam,32.0,0.448,0.686,2.0,-7.411,1,0.0406,0.146,1.38e-05,0.107,0.228,123.641,6.145783333,4,Acoustic/Folk
58,88,Talia Goddess,Never Wanna Fall,31.0,0.467,0.51,6.0,-10.471,1,0.103,0.16,0.000275,0.136,0.557,100.832,281538.0,3,Rock
59,91,Lonnie Brooks,Greasy Man,20.0,0.723,0.354,5.0,-15.958,1,0.0382,0.55,0.339,0.115,0.842,81.47,356773.0,4,Indie_Alt
60,93,Jon Batiste,CRY,52.0,0.738,0.507,9.0,-6.991,0,0.0272,0.229,0.00151,0.0724,0.7,80.015,237244.0,4,Indie_Alt
61,94,Aisha Badru,Mind on Fire,49.0,0.345,0.132,7.0,-13.633,1,0.052,0.865,0.0144,0.114,0.0414,208.648,194320.0,4,Alt_Music
62,95,Bombino,Iyat Ninhay / Jaguar (A Great Desert I Saw),40.0,0.215,0.832,11.0,-6.76,0,0.0504,0.000958,0.272,0.519,0.668,78.063,367185.0,4,Metal
63,98,Cake,War Pigs,57.0,0.581,0.566,5.0,-8.169,0,0.0357,0.00698,2.93e-06,0.0968,0.449,83.904,234013.0,4,Alt_Music
64,100,GRAZER,Nostalgia Seed,35.0,0.46,0.853,11.0,-9.045,1,0.0385,0.118,0.808,0.194,0.578,159.026,181321.0,4,Rock
65,102,Dolly Ave,Waiting for You,21.0,0.161,0.261,3.0,-10.281,1,0.0305,0.925,0.0106,0.184,0.085,66.909,204743.0,3,Pop
66,103,Queensrÿche,Empire - Remastered 2003,49.0,0.315,0.895,2.0,-4.519,1,0.0924,0.00216,1.32e-05,0.0596,0.432,79.628,324067.0,4,Alt_Music
67,104,Lewis Del Mar,Painting (Masterpiece),56.0,0.726,0.861,6.0,-5.167,1,0.0695,0.277,4.12e-06,0.0534,0.711,91.966,243413.0,4,Rock
68,105,Elizabeth,parties,37.0,0.336,0.543,2.0,-8.483,0,0.0544,0.171,4.24e-06,0.0661,0.258,136.92,208553.0,4,Rock
69,107,Tyla Yaweh,Stuntin' On You (feat. DDG & Dame D.O.L.L.A.) - Remix,61.0,0.816,0.669,8.0,-5.943,1,0.3,0.00928,1.77e-06,0.124,0.774,173.936,183141.0,4,Alt_Music
70,108,Fangclub,Vulture Culture,45.0,0.293,0.917,9.0,-6.104,1,0.074,1.28e-05,0.238,0.435,0.504,180.146,199077.0,4,Alt_Music
71,109,JDM Global,Cake,20.0,0.727,0.801,10.0,-6.562,1,0.0307,0.251,0.817,0.0838,0.928,121.032,167603.0,4,Pop
72,110,Black Peaks,Electric Fires,27.0,0.31,0.989,7.0,-3.876,1,0.104,0.000607,0.000769,0.328,0.146,181.958,201718.0,3,Metal
73,111,The Wrecks,Fvck Somebody,54.0,0.533,0.661,6.0,-5.196,0,0.0418,0.0239,2.45e-06,0.347,0.603,142.079,181013.0,4,Alt_Music
74,113,MISSIO,Middle Fingers,50.0,0.517,0.553,1.0,-5.135,1,0.0329,0.000104,3.7e-06,0.133,0.0775,139.26,215200.0,4,Rock
75,114,DaVido,Jowo,63.0,0.552,0.656,10.0,-4.941,1,0.204,0.706,1.25e-05,0.0744,0.804,67.379,176471.0,3,HipHop
76,117,Snow Patrol,Chasing Cars,70.0,0.56,0.595,9.0,-4.53,1,0.0274,0.199,6.47e-05,0.132,0.144,104.011,267960.0,4,Pop
77,118,Yot Club,YKWIM?,75.0,0.372,0.537,9.0,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,212750.0,3,Indie_Alt
78,120,Blondie,Rapture,46.0,0.722,0.7,11.0,-8.241,0,0.05,0.111,0.00318,0.545,0.946,107.505,299293.0,4,Indie_Alt
79,121,Michael Burks,Thank God For Fools,10.0,0.671,0.86,7.0,-5.381,1,0.0339,0.033,0.001,0.342,0.765,113.028,254000.0,4,Indie_Alt
80,122,George Thorogood,I Got My Eyes On You,41.0,0.405,0.905,2.0,-2.572,1,0.0327,5.43e-05,0.0501,0.235,0.705,157.228,214067.0,4,Rock
81,124,Peter Netz,Come Join Me For A Coffee,24.0,0.667,0.103,9.0,-16.431,1,0.0654,0.973,0.943,0.0915,0.364,61.758,3.073516667,4,Instrumental
82,125,The Who,Love Ain't For Keeping,44.0,0.554,0.818,2.0,-6.864,1,0.0362,0.0779,0.0106,0.341,0.512,142.339,130720.0,4,Rock
83,126,Public Image Ltd.,Rise,52.0,0.533,0.739,7.0,-9.361,1,0.0561,0.00299,3.69e-06,0.475,0.636,86.345,378373.0,4,Alt_Music
84,128,Citizen,I Want to Kill You,50.0,0.584,0.876,10.0,-3.635,0,0.0652,0.00698,0.0002,0.0895,0.703,149.976,192107.0,4,Indie_Alt
85,129,Of Mice & Men,Timeless,52.0,0.529,0.944,8.0,-7.203,1,0.0881,8.05e-05,0.0389,0.104,0.133,115.002,246500.0,4,Rock
86,130,Muddy Waters,Dealin' With the Devil,36.0,0.365,0.713,2.0,-6.984,1,0.114,0.597,2.07e-05,0.971,0.324,82.434,470413.0,4,Blues
87,131,Black Rebel Motorcycle Club,Spread Your Love,61.0,0.415,0.901,2.0,-3.124,1,0.0428,0.00987,0.361,0.136,0.424,128.216,225333.0,4,Rock
88,132,Eliad,מיאמי,36.0,0.652,0.718,4.0,-6.123,0,0.0434,0.0509,1.32e-06,0.105,0.595,172.1,217240.0,4,Blues
89,135,Dashboard Confessional,Hands Down,62.0,0.463,0.827,3.0,-4.085,1,0.0437,0.013,2.41e-05,0.0964,0.26,94.035,186867.0,4,Metal
90,137,Willie Dixon,I Can't Quit You Baby,50.0,0.469,0.236,7.0,-16.981,1,0.0364,0.407,0.0434,0.215,0.415,82.232,399173.0,4,Blues
91,138,Battering Ram,Pieces,29.0,0.553,0.941,7.0,-5.312,1,0.073,0.000226,0.000465,0.127,0.5,108.735,222155.0,3,Metal
92,139,Mannequin Pussy,Control,47.0,0.354,0.877,11.0,-4.817,1,0.065,0.00501,0.0245,0.348,0.388,129.879,195130.0,4,Rock
93,142,"Ludwig van Beethoven, Anne-Sophie Mutter, Yo-Yo Ma, Daniel Barenboim, West-Eastern Divan Orchestra","Triple Concerto in C Major, Op. 56: 2. Largo - attacca - Live at Philharmonie, Berlin / 2019",25.0,0.148,0.0978,8.0,-22.617,1,0.0407,0.787,0.755,0.145,0.039,89.658,5.279066667,4,Instrumental
94,145,Little Feat,Dixie Chicken - Live,30.0,0.488,0.674,9.0,-8.366,1,0.0497,0.225,0.00156,0.728,0.724,146.566,533667.0,4,Indie_Alt
95,146,System Of A Down,Lonely Day,60.0,0.458,0.783,8.0,-3.226,0,0.0322,0.346,6.14e-06,0.13,0.224,113.072,167907.0,3,Indie_Alt
96,147,Alaska Reid,Mermaid Tears - Midnight,28.0,0.348,0.368,2.0,-11.761,1,0.046,0.843,0.00218,0.399,0.0488,140.122,200571.0,4,Alt_Music
97,148,Yuno,No Going Back,61.0,0.714,0.708,2.0,-5.524,0,0.027,0.0112,0.0141,0.0609,0.902,93.005,208200.0,4,Indie_Alt
98,149,Nation of Language,The Wall & I,46.0,0.558,0.876,6.0,-5.625,1,0.0288,0.0244,0.293,0.0971,0.448,141.995,304714.0,4,Indie_Alt
99,151,Beach Bunny,Ms. California,51.0,0.582,0.859,4.0,-3.943,1,0.0399,0.000209,0.125,0.0841,0.61,121.968,172037.0,4,Indie_Alt
100,152,Mae,Embers And Envelopes,46.0,0.554,0.82,7.0,-6.156,1,0.0486,0.114,1.87e-06,0.204,0.372,120.893,258107.0,3,Metal
101,153,HEALTH,ISN’T EVERYONE,63.0,0.459,0.698,2.0,-8.079,0,0.051,0.0294,0.777,0.139,0.165,147.954,314719.0,4,Rock
102,154,Ritchie Valens,"Come On, Let's Go",55.0,0.616,0.724,9.0,-8.101,1,0.042,0.788,3.16e-06,0.128,0.809,81.402,2.07645,3,Acoustic/Folk
103,156,Editors,An End Has A Start,54.0,0.349,0.923,6.0,-2.432,0,0.0539,1.95e-05,0.111,0.336,0.535,149.904,225533.0,4,Indie_Alt
104,159,"Kid Rock, Sheryl Crow",Picture (feat. Sheryl Crow),69.0,0.692,0.496,7.0,-7.332,1,0.0241,0.172,6.42e-06,0.107,0.376,97.945,4.982666667,4,Rock
105,162,Rage Against The Machine,Take The Power Back,60.0,0.62,0.912,1.0,-4.011,1,0.221,0.0728,7.15e-05,0.249,0.291,106.236,336440.0,4,Rock
106,164,Embrace,All You Good Good People,48.0,0.232,0.719,11.0,-6.255,1,0.0428,0.000118,0.000226,0.119,0.323,165.906,366267.0,4,Rock
107,165,הגל השני,הנחיות חדשות,29.0,0.644,0.79,10.0,-8.658,0,0.0529,0.139,0.00156,0.155,0.657,80.021,217276.0,4,Indie_Alt
108,166,Dream State,Primrose,50.0,0.449,0.92,11.0,-5.601,0,0.0837,0.00286,1.64e-05,0.337,0.208,145.976,264457.0,4,Rock
109,169,Buddy Guy,She's Got The Devil In Her,33.0,0.441,0.9,8.0,-4.03,1,0.095,0.0109,0.462,0.253,0.465,119.141,310729.0,3,Metal
110,170,Ekin Fil,The Reckoning,21.0,0.142,0.0664,7.0,-25.04,1,0.0467,0.871,0.942,0.102,0.0388,145.565,312000.0,1,Indie_Alt
111,171,Keb' Mo',For Better or Worse,32.0,0.558,0.322,7.0,-11.802,1,0.0343,0.754,0.0017,0.11,0.286,73.868,205107.0,4,Pop
112,172,The Lumineers,Ophelia,56.0,0.664,0.573,5.0,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,2.66828333,4,Acoustic/Folk
113,173,Tommy Genesis,Tommy,51.0,0.716,0.855,1.0,-7.856,1,0.0488,0.00287,0.00593,0.268,0.377,138.008,162481.0,4,Rock
114,175,What A Day - Edit,Ben Howard,20.0,0.663,0.434,7.0,-9.03,1,0.0278,0.539,0.0732,0.0906,0.593,136.018,4.296216667,4,Rock
115,176,Dua Lipa,Break My Heart,82.0,0.73,0.729,4.0,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,221820.0,4,Pop
116,177,Noah Cunane,F*CK ABOUT IT,49.0,0.364,0.936,9.0,-4.281,1,0.146,0.000626,2.5e-06,0.427,0.579,180.191,100608.0,4,Pop
117,178,LCD Soundsystem,Daft Punk Is Playing at My House,60.0,0.92,0.914,7.0,-4.555,1,0.0444,0.0222,7.62e-05,0.114,0.974,135.923,314557.0,4,Indie_Alt
118,179,Etti Ankri,רואה לך בעיניים,32.0,0.543,0.323,9.0,-13.399,1,0.0266,0.0546,1.57e-06,0.136,0.222,138.349,322000.0,4,Rock
119,180,DEAR MOTHER,Satellite,41.0,0.469,0.86,1.0,-7.417,1,0.0591,3.95e-05,0.0452,0.152,0.245,122.027,210240.0,4,Rock
120,181,3d Blast,3rD BEST,32.0,0.377,0.773,4.0,-7.417,1,0.0732,0.0481,0.00263,0.87,0.548,119.883,242817.0,4,Rock
121,182,Layla Zoe,Gemini Heart,37.0,0.469,0.445,10.0,-8.452,1,0.0286,0.682,0.000716,0.119,0.237,107.865,370760.0,3,Rock
122,184,Novocaine,Codeine,24.0,0.333,0.88,4.0,-7.791,1,0.065,0.0023,0.00147,0.127,0.266,168.138,283250.0,4,Metal
123,186,Spank Rock,Bump - Switch Remix,16.0,0.777,0.693,1.0,-10.473,1,0.439,0.246,0.0139,0.249,0.485,126.005,447000.0,4,Alt_Music
124,187,Kenny Wayne Shepherd,Nothing But The Night,32.0,0.688,0.756,4.0,-6.046,0,0.0323,0.164,0.00267,0.121,0.883,110.981,293507.0,4,Blues
125,188,Catfish and the Bottlemen,Pacifier,59.0,0.459,0.883,9.0,-4.1,1,0.0476,0.000491,0.0267,0.118,0.338,147.943,237533.0,4,Alt_Music
126,189,Emma-Jean Thackray,Say Something,44.0,0.419,0.608,10.0,-9.957,0,0.054,0.798,0.0476,0.129,0.341,125.144,229500.0,1,Alt_Music
127,192,Moonspell,Alma Mater,45.0,0.235,0.867,9.0,-6.408,0,0.0647,0.000133,0.000938,0.0758,0.305,142.939,337307.0,3,Rock
128,193,Pantera,Immortally Insane,40.0,0.352,0.915,8.0,-3.727,1,0.0586,4.13e-05,0.000488,0.208,0.264,82.589,311083.0,4,Metal
129,196,Chromeo,Fancy Footwork,48.0,0.686,0.902,5.0,-3.154,0,0.0304,0.00575,0.0427,0.125,0.648,129.971,198020.0,4,Rock
130,197,Papa Roach,Last Resort,81.0,0.589,0.89,4.0,-3.719,0,0.0603,0.000481,0.00082,0.201,0.692,90.598,199907.0,4,Rock
131,198,alt-J,Breezeblocks,73.0,0.611,0.643,5.0,-7.372,1,0.037,0.117,0.00101,0.131,0.258,74.991,227080.0,4,Rock
132,199,Helstar,Dark Incarnation (Mother of the Night),20.0,0.319,0.945,4.0,-5.512,0,0.0677,0.000128,0.00101,0.381,0.104,124.944,372333.0,4,Metal
133,200,Mavis Staples,No Time For Cryin' - Live,36.0,0.756,0.875,7.0,-7.132,1,0.0743,0.35,0.00928,0.686,0.753,115.257,322022.0,4,HipHop
134,201,Billy Ocean,"Get Outta My Dreams, Get into My Car",63.0,0.666,0.91,4.0,-6.457,1,0.0399,0.0874,8.41e-06,0.336,0.919,117.14,284373.0,4,Alt_Music
135,203,Islands,Hallways,40.0,0.681,0.735,10.0,-6.984,1,0.0332,0.343,0.00521,0.351,0.725,106.085,173680.0,4,Rock
136,204,Jelani Aryeh,Stella Brown,66.0,0.724,0.48,2.0,-7.537,1,0.0342,0.211,0.0772,0.289,0.591,125.007,187415.0,4,Blues
137,206,Selda Bağcan,Tatlı Dillim,45.0,0.559,0.325,9.0,-9.582,1,0.0385,0.987,0.00172,0.131,0.496,98.535,120686.0,4,Alt_Music
138,211,Abby Sage,Smoke Break,31.0,0.573,0.452,11.0,-6.642,1,0.0312,0.196,5.64e-06,0.124,0.149,76.014,207353.0,4,Indie_Alt
139,212,Shire T,Blue Kiss,44.0,0.633,0.969,7.0,-6.112,1,0.0581,0.0113,0.654,0.123,0.603,138.946,255760.0,4,Pop
140,213,SOPHIE,Ponyboy,50.0,0.823,0.381,1.0,-7.372,1,0.0889,0.000497,0.000542,0.14,0.46,107.996,194438.0,4,HipHop
141,214,Justin Quiles,Loco,68.0,0.77,0.899,8.0,-2.981,1,0.0494,0.222,1.14e-06,0.0894,0.851,128.05,231604.0,4,Pop
142,215,Eddie Berman,Dancing in the Dark,57.0,0.463,0.153,2.0,-14.082,1,0.0385,0.903,1.23e-05,0.152,0.254,73.506,3.98555,4,Acoustic/Folk
143,216,CAN,I Want More,41.0,0.806,0.6,9.0,-11.02,1,0.0535,0.0251,0.187,0.0408,0.932,113.544,214227.0,4,Indie_Alt
144,218,Chernikovskaya Hata,Nochnoe Randevu,50.0,0.56,0.801,9.0,-8.789,0,0.0273,0.0385,0.897,0.313,0.834,129.953,208000.0,4,Indie_Alt
145,220,Joe Bonamassa,Cradle Rock,44.0,0.411,0.91,2.0,-4.867,1,0.0392,0.000243,0.00082,0.0931,0.613,106.675,230027.0,4,Rock
146,221,T. Rex,Hot Love,55.0,0.565,0.543,11.0,-8.505,0,0.0376,0.0839,0.0521,0.0867,0.486,130.983,295480.0,4,Rock
147,222,Slow Pulp,Steel Birds,39.0,0.581,0.432,2.0,-7.305,1,0.0262,0.461,0.00127,0.0972,0.253,140.062,203500.0,4,Rock
148,223,The Hives,Walk Idiot Walk,58.0,0.623,0.947,9.0,-3.934,1,0.103,0.00386,0.00575,0.582,0.684,146.318,211813.0,4,Rock
149,224,Ellie Goulding,Lights - Single Version,65.0,0.682,0.795,8.0,-6.17,0,0.0367,0.0297,0.0391,0.131,0.78,120.008,210853.0,4,Rock
150,225,The Bravery,Believe,58.0,0.385,0.949,8.0,-3.369,1,0.0459,0.00501,2.13e-06,0.113,0.517,166.137,226347.0,4,Alt_Music
151,226,Yuck,Get Away,30.0,0.468,0.693,9.0,-2.301,1,0.0378,0.00247,0.542,0.236,0.538,133.052,215573.0,4,Blues
152,227,Lenny Kravitz,Believe,50.0,0.73,0.65,5.0,-8.142,0,0.0354,0.00243,0.0245,0.0445,0.748,120.038,280973.0,4,Indie_Alt
153,228,Cam,Till There's Nothing Left,71.0,0.577,0.634,2.0,-6.905,1,0.0365,0.00339,0.000332,0.209,0.335,75.752,3.258583333,4,Coutnry
154,229,The Killers,Run For Cover,62.0,0.466,0.951,5.0,-3.314,1,0.125,0.0016,0.00242,0.351,0.499,165.107,222147.0,4,Rock
155,231,Mahesh Raghvan,Chinnanchiru Kiliye,22.0,0.488,0.55,9.0,-11.406,0,0.0359,0.0241,0.0206,0.129,0.125,181.99,3.291416667,3,Acoustic/Folk
156,232,Bay Ledges,Stay,36.0,0.695,0.654,4.0,-10.254,0,0.0523,0.379,0.149,0.177,0.946,86.016,212093.0,4,Indie_Alt
157,233,Josh Fudge,FEEL LIKE,58.0,0.592,0.733,5.0,-7.09,1,0.0544,0.109,0.201,0.591,0.695,104.977,188143.0,4,Indie_Alt
158,237,Thundercat,Dragonball Durag,68.0,0.648,0.59,2.0,-9.664,1,0.0942,0.697,0.808,0.111,0.401,81.045,181922.0,4,Indie_Alt
159,238,Roy Rieck,שנים,12.0,0.773,0.759,7.0,-6.158,1,0.0353,0.15,0.0421,0.74,0.964,112.99,172030.0,4,Indie_Alt
160,239,Cryptosis,Prospect of Immortality,26.0,0.409,0.943,6.0,-6.833,1,0.0961,2.26e-05,0.73,0.216,0.167,134.997,381543.0,4,Metal
161,243,Robin Trower,Walking Wounded,32.0,0.546,0.227,10.0,-12.635,0,0.0317,0.782,0.0858,0.141,0.101,60.037,254145.0,4,Indie_Alt
